time,latitude,longitude,depth,mag,mag_type,net,string_id,place,horizontal_error,mag_error,mag_nst,location_source
2022-06-16T15:06:02.580Z,38.8300018,-122.8193359,1.03,1.09,md,nc,nc73746236,"8km NW of The Geysers, CA",0.21,0.16,4,nc
2022-06-16T14:50:21.208Z,61.5503,-146.342,33.3,1.3,ml,ak,ak0227ofdscr,"46 km N of Valdez, Alaska",,,,ak
2022-06-16T14:50:08.429Z,63.0104,-150.6492,116.2,1.5,ml,ak,ak0227ofdret,"57 km N of Petersville, Alaska",,,,ak
2022-06-16T14:48:44.860Z,34.2593333,-118.496,12.39,1.56,ml,ci,ci40041399,"2km SSE of Granada Hills, CA",0.21,0.254,18,ci
2022-06-16T14:23:52.630Z,33.995,-117.2176667,10.98,1.63,ml,ci,ci40041351,"7km SE of Loma Linda, CA",0.11,0.246,27,ci
2022-06-16T14:15:05.950Z,35.7733333,-117.5693333,7.56,0.96,ml,ci,ci40041343,"15km W of Searles Valley, CA",0.25,0.151,7,ci
2022-06-16T14:15:03.210Z,17.88883333,-66.849,13.83,2.19,md,pr,pr71354353,"10 km SSE of Maria Antonia, Puerto Rico",0.95,0.086573218,5,pr
2022-06-16T14:01:54.092Z,59.5732,-152.9603,109.1,1.4,ml,ak,ak0227of3ctt,"63 km WNW of Nanwalek, Alaska",,,,ak
2022-06-16T14:00:11.610Z,19.25749969,-155.406662,29.94000053,2.22,ml,hv,hv73045827,"9 km NE of Pāhala, Hawaii",0.5,3.73,19,hv
2022-06-16T13:46:03.370Z,36.3424988,-120.9111633,4.76,1.99,md,nc,nc73746226,"23km WSW of New Idria, CA",0.44,0.18,10,nc
2022-06-16T13:44:38.541Z,62.6235,-156.5665,4.8,1.5,ml,ak,ak0227oer3tb,"48 km SSW of Takotna, Alaska",,,,ak
2022-06-16T13:37:18.860Z,44.3706667,-115.2226667,12.33,2.58,ml,mb,mb80548904,"28 km NW of Stanley, Idaho",0.55,0.165,18,mb
2022-06-16T13:33:47.538Z,61.7276,-150.4645,49,1.9,ml,ak,ak0227oeormp,"20 km N of Susitna, Alaska",,,,ak
2022-06-16T13:09:07.090Z,37.4985,-118.8431667,4.96,1.35,md,nc,nc73746221,"16km WSW of Toms Place, CA",0.34,0.148,18,nc
2022-06-16T12:53:10.023Z,64.7381,-148.4587,2.4,1.2,ml,ak,ak0227oe7jga,"24 km WSW of Ester, Alaska",,,,ak
2022-06-16T12:47:59.909Z,38.471,-119.5371,7.1,1,ml,nn,nn00841005,"7 km SW of Walker, California",,0.24,5,nn
2022-06-16T12:41:11.780Z,38.8278351,-122.7965012,1.48,1.21,md,nc,nc73746211,"6km W of Cobb, CA",0.2,0.13,4,nc
2022-06-16T12:38:15.190Z,37.356,-121.3411667,2.36,1.1,md,nc,nc73746206,"23km SW of Patterson, CA",0.35,0.122,13,nc
2022-06-16T12:34:56.313Z,62.9689,-150.4094,99.3,2.7,ml,ak,ak0227oe3kf7,"55 km NNE of Petersville, Alaska",,,,ak
2022-06-16T12:14:33.470Z,38.58,-88.0093333,19.98,2.54,md,nm,nm60399861,"4 km ESE of Parkersburg, Illinois",0.35,0.151,16,nm
2022-06-16T12:13:08.130Z,33.4293333,-116.6846667,11.51,1.33,ml,ci,ci40041279,"14km S of Anza, CA",0.19,0.184,27,ci
2022-06-16T12:09:03.310Z,35.7111667,-117.5056667,8.31,1.31,ml,ci,ci40041271,"11km SW of Searles Valley, CA",0.24,0.264,6,ci
2022-06-16T11:57:47.200Z,38.8243332,-122.8051682,1.8,1.52,md,nc,nc73746186,"7km NW of The Geysers, CA",0.18,0.07,6,nc
2022-06-16T11:49:50.393Z,60.8928,-150.9085,32.4,1.2,ml,ak,ak0227odlc3j,"12 km WSW of Point Possession, Alaska",,,,ak
2022-06-16T11:49:32.442Z,38.1418,-118.2228,3.6,1.2,ml,nn,nn00841001,"29 km SSW of Mina, Nevada",,0.15,10,nn
2022-06-16T11:47:54.240Z,33.0413333,-115.6145,8.14,1.82,ml,ci,ci40041263,"1km NE of Westmorland, CA",0.2,0.177,17,ci
2022-06-16T11:39:43.146Z,31.68101299,-104.4248396,6.131567383,2.9,ml,tx,tx2022lsep,"55 km S of Whites City, New Mexico",1.028459829,0.1,12,tx
2022-06-16T11:28:10.770Z,18.0685,-67.037,7.34,2.12,md,pr,pr71354348,"1 km SSE of San Germán, Puerto Rico",1.39,0.109312474,4,pr
2022-06-16T11:22:50.200Z,33.9948333,-117.217,11.36,1.01,ml,ci,ci40041247,"7km SE of Loma Linda, CA",0.16,0.086,25,ci
2022-06-16T11:19:54.860Z,39.355,-123.2626667,7.52,1.7,md,nc,nc73746171,"10km SE of Willits, CA",0.18,0.087,20,nc
2022-06-16T11:15:02.910Z,33.2923333,-116.098,-0.08,1.28,ml,ci,ci40041239,"13km W of Salton City, CA",0.24,0.135,22,ci
2022-06-16T10:53:05.211Z,61.6085,-146.3423,27.4,1.4,ml,ak,ak0227od0nvd,Southern Alaska,,,,ak
2022-06-16T10:26:24.944Z,63.2048,-150.4874,103.7,1.5,ml,ak,ak0227ocux26,"72 km ESE of Denali National Park, Alaska",,,,ak
2022-06-16T10:20:07.200Z,35.9766667,-117.8841667,3.7,1.37,ml,ci,ci40041207,"5km NNE of Little Lake, CA",0.14,0.176,15,ci
2022-06-16T10:13:38.110Z,35.6208333,-117.4626667,9.59,1.4,ml,ci,ci40041199,"17km SSW of Searles Valley, CA",0.21,0.109,18,ci
2022-06-16T10:10:51.470Z,34.0506667,-118.2263333,11.2,0.98,ml,ci,ci40041191,"2km ESE of Los Angeles, CA",0.26,0.061,13,ci
2022-06-16T10:10:29.837Z,63.1855,-150.9265,100.8,1.3,ml,ak,ak0227ocrhzb,"56 km SE of Denali National Park, Alaska",,,,ak
2022-06-16T10:04:36.580Z,34.0503333,-118.2321667,11.51,1.05,ml,ci,ci40041183,"1km ESE of Los Angeles, CA",0.25,0.118,19,ci
2022-06-16T09:59:56.730Z,33.0481667,-116.3478333,13.54,1,ml,ci,ci40041175,"23km WSW of Ocotillo Wells, CA",0.18,0.192,22,ci
2022-06-16T09:57:57.094Z,61.6318,-149.5379,32.5,1.5,ml,ak,ak0227ocg74t,"3 km ENE of Meadow Lakes, Alaska",,,,ak
2022-06-16T09:24:48.930Z,38.8223343,-122.765831,2.03,1,md,nc,nc73746151,"4km W of Cobb, CA",0.27,0.13,3,nc
2022-06-16T09:21:26.640Z,38.7514992,-122.7093353,1.31,1.14,md,nc,nc73746141,"3km SSW of Anderson Springs, CA",0.59,0.04,4,nc
2022-06-16T09:15:06.480Z,0.0184,123.3554,135.72,4.8,mb,us,us7000hhr8,"66 km SSE of Gorontalo, Indonesia",7.8,0.052,114,us
2022-06-16T09:12:00.444Z,38.0161,-115.2288,0,1.5,ml,nn,nn00840999,"46 km N of Hiko, Nevada",,0.49,11,nn
2022-06-16T08:50:39.770Z,38.8274994,-122.7976685,1.79,1.07,md,nc,nc73746106,"6km W of Cobb, CA",0.23,0.16,2,nc
2022-06-16T08:48:56.620Z,38.8276672,-122.7981644,1.87,2.68,md,nc,nc73746091,"6km W of Cobb, CA",0.15,0.11,53,nc
2022-06-16T08:47:45.450Z,35.9881667,-117.4056667,1.39,1.29,ml,ci,ci40041151,"24km N of Searles Valley, CA",0.23,0.103,10,ci
2022-06-16T08:40:29.388Z,31.62130883,-104.1270306,6.362939453,1.6,ml,tx,tx2022lryr,"46 km NW of Toyah, Texas",1.688114265,0.3,10,tx
2022-06-16T08:21:40.330Z,17.91333333,-66.86033333,14.77,2.21,md,pr,pr71354343,"7 km SSE of Maria Antonia, Puerto Rico",1.36,0.04903511,4,pr
2022-06-16T07:47:23.960Z,17.9075,-66.77383333,6.68,2.38,md,pr,pr71354338,"10 km SSE of Indios, Puerto Rico",0.71,0.006703782,3,pr
2022-06-16T07:44:41.160Z,-24.6836,-179.7676,513.41,4.6,mb,us,us7000hhqt,south of the Fiji Islands,15.1,0.109,25,us
2022-06-16T07:40:21.710Z,17.9675,-67.02733333,6.12,2.09,md,pr,pr71354333,"2 km ESE of La Parguera, Puerto Rico",1.6,0.062641018,3,pr
2022-06-16T07:37:55.850Z,-49.0545,124.5556,10,4.7,mb,us,us7000hhqs,western Indian-Antarctic Ridge,12.3,0.105,32,us
2022-06-16T07:36:39.960Z,36.85283333,-97.78216667,7.58,1.95,ml,ok,ok2022lrwo,"6 km NW of Medford, Oklahoma",,0.18,42,ok
2022-06-16T07:36:32.340Z,20.02933311,-155.3580017,25.75,2.55,ml,hv,hv73045582,"1 km SE of Pa‘auilo, Hawaii",0.6,4.25,11,hv
2022-06-16T07:02:21.920Z,37.4513321,-121.7716675,5.78,1.15,md,nc,nc73746066,"11km NNE of Alum Rock, CA",0.48,0.15,4,nc
2022-06-16T06:55:52.070Z,19.201334,-155.3863373,31.31999969,1.96,ml,hv,hv73045577,"9 km E of Pāhala, Hawaii",0.67,5.54,3,hv
2022-06-16T06:49:32.961Z,61.8026,-146.3874,28.7,1.1,ml,ak,ak0227oam4po,"29 km SE of Nelchina, Alaska",,,,ak
2022-06-16T06:46:06.610Z,56.4496,-157.1961,107.2,2.3,ml,ak,ak0227oalfe3,"76 km ENE of Chignik, Alaska",,,,ak
2022-06-16T06:45:19.580Z,33.0301667,-115.6095,6.16,1.15,ml,ci,ci40041111,"1km SE of Westmorland, CA",0.3,0.169,9,ci
2022-06-16T06:44:45.642Z,57.7548,-153.6082,65,1.8,ml,ak,ak0227oal34k,"32 km NE of Larsen Bay, Alaska",,,,ak
2022-06-16T06:36:15.070Z,32.9303333,-115.5288333,6.45,0.99,ml,ci,ci40041103,"5km S of Brawley, CA",0.37,0.164,8,ci
2022-06-16T06:31:35.543Z,63.842,-149.1976,0,1.8,ml,ak,ak0227oaia1e,"11 km W of Healy, Alaska",,,,ak
2022-06-16T06:21:47.040Z,35.3911667,-118.1653333,3.59,1.29,ml,ci,ci40041095,"34km NNW of California City, CA",0.13,0.118,19,ci
2022-06-16T06:11:10.278Z,61.8653,-149.1914,28.4,1,ml,ak,ak0227oadxrn,"13 km N of Fishhook, Alaska",,,,ak
2022-06-16T06:08:52.700Z,17.1803,119.9525,14.23,5.1,mww,us,us7000hhqh,"49 km W of Darapidap, Philippines",8.4,0.083,14,us
2022-06-16T06:00:27.295Z,61.4841,-140.5693,10,2.8,ml,us,us7000hhqe,"125 km E of McCarthy, Alaska",2.2,0.038,90,us
2022-06-16T05:44:08.860Z,59.8473,-152.335,85.7,1.5,ml,ak,ak0227o9zkom,"29 km WNW of Anchor Point, Alaska",,,,ak
2022-06-16T05:31:50.767Z,63.5655,-147.6059,6.7,1,ml,ak,ak0227o9wvlw,"67 km ESE of Denali Park, Alaska",,,,ak
2022-06-16T05:20:25.670Z,61.132,-149.6855,31.6,1.4,ml,ak,ak0227o9ugsn,"14 km SSW of Elmendorf Air Force Base, Alaska",,,,ak
2022-06-16T04:49:32.320Z,27.9601,139.4891,502.2,5.3,mb,us,us7000hhq7,"Bonin Islands, Japan region",14.6,0.193,9,us
2022-06-16T04:35:00.080Z,33.7066667,-116.7583333,16.06,0.97,ml,ci,ci40041055,"5km SW of Idyllwild, CA",0.14,0.141,33,ci
2022-06-16T04:28:05.607Z,60.0711,-153.6712,170.4,1.8,ml,ak,ak0227o9apdx,"38 km ESE of Port Alsworth, Alaska",,,,ak
2022-06-16T04:13:39.226Z,62.0669,-149.3259,32.1,1.2,ml,ak,ak0227o97k82,"29 km ESE of Susitna North, Alaska",,,,ak
2022-06-16T03:57:38.050Z,32.6926667,-115.4426667,10.34,1.44,ml,ci,ci40041047,"5km NNE of Mexicali, B.C., MX",0.43,0.298,20,ci
2022-06-16T03:51:47.763Z,67.474,-158.2528,0,1.6,ml,ak,ak0227o8uang,"46 km NNW of Ambler, Alaska",,,,ak
2022-06-16T03:48:57.870Z,33.9335,-117.9111667,14.75,1.18,ml,ci,ci40041039,"2km NNW of Brea, CA",0.22,0.179,27,ci
2022-06-16T03:48:55.233Z,31.63152718,-104.1542654,7.828295898,2.5,ml,tx,tx2022lrpb,"49 km NW of Toyah, Texas",0.962929186,0.2,13,tx
2022-06-16T03:47:25.560Z,60.4591,-150.4094,22.7,1.1,ml,ak,ak0227o8tdqm,"19 km ESE of Funny River, Alaska",,,,ak
2022-06-16T03:45:11.950Z,35.6935,-117.5228333,6.84,1.47,ml,ci,ci40041031,"14km SW of Searles Valley, CA",0.16,0.128,20,ci
2022-06-16T03:44:50.189Z,54.6045,-159.7127,24.9,2,ml,ak,ak0227o8swxf,"95 km SSE of Sand Point, Alaska",,,,ak
2022-06-16T03:33:23.660Z,33.7371667,-116.018,1.43,1.1,ml,ci,ci40041023,"16km NE of Thermal, CA",0.21,0.103,19,ci
2022-06-16T03:21:10.900Z,44.3181667,-115.434,2.1,2.16,ml,mb,mb80548889,"30 km NNE of Lowman, Idaho",0.53,0.263,12,mb
2022-06-16T03:18:20.945Z,60.5077,-151.3868,62.9,1.2,ml,ak,ak0227o8n5se,"8 km SW of Kenai, Alaska",,,,ak
2022-06-16T03:13:38.620Z,47.5391667,-113.8051667,16.52,0.98,ml,mb,mb80548884,"7 km W of Condon, Montana",0.35,0.266,5,mb
2022-06-16T03:08:19.709Z,38.1759,-117.8861,4.1,1,ml,nn,nn00840992,"30 km SE of Mina, Nevada",,0.28,6,nn
2022-06-16T02:58:24.420Z,35.1116667,-118.4035,5.06,1.94,ml,ci,ci40041015,"5km ESE of Tehachapi, CA",0.2,0.176,27,ci
2022-06-16T02:43:54.838Z,-0.4872,-77.4295,10.54,4.4,mb,us,us7000hhps,"39 km NW of Boca Suno, Ecuador",4.4,0.268,6,us
2022-06-16T02:36:29.326Z,61.9075,-150.5623,15.3,1.3,ml,ak,ak0227o85lpw,"32 km WNW of Willow, Alaska",,,,ak
2022-06-16T02:32:09.271Z,63.2207,-151.3251,9.9,2,ml,ak,ak0227o84pb3,"40 km SSE of Denali National Park, Alaska",,,,ak
2022-06-16T02:04:33.538Z,43.8552,88.5351,30.99,4.4,mb,us,us7000hhpq,"75 km E of Ürümqi, China",9.8,0.098,30,us
2022-06-16T02:04:10.620Z,19.16799927,-155.4591675,33.54999924,1.88,md,hv,hv73045342,"4 km SSE of Pāhala, Hawaii",0.74,0.939999998,8,hv
2022-06-16T02:03:15.199Z,59.8832,-151.314,52.5,1.1,ml,ak,ak0227o7yhzz,"16 km N of Fritz Creek, Alaska",,,,ak
2022-06-16T01:46:35.380Z,35.7906667,-117.5716667,11.55,1.01,ml,ci,ci40040975,"15km W of Searles Valley, CA",0.54,0.16,9,ci
2022-06-16T01:41:13.360Z,47.43,-115.809,0.02,1.15,ml,mb,mb80548914,"4 km S of Mullan, Idaho",1.29,0.126,3,mb
2022-06-16T01:34:48.270Z,36.0903333,-117.8588333,1.6,1.54,ml,ci,ci40040967,"10km ENE of Coso Junction, CA",0.28,0.168,17,ci
2022-06-16T01:34:35.088Z,67.4909,-158.2552,0,2.8,ml,ak,ak0227o7jr3v,"48 km NNW of Ambler, Alaska",,,,ak
2022-06-16T01:18:58.580Z,39.4355,-110.3145,-1.49,1.94,ml,uu,uu60501987,"14 km SSE of Sunnyside, Utah",0.72,0.11,8,uu
2022-06-16T01:17:45.010Z,19.1716671,-155.4626617,33.56999969,2.05999994,md,hv,hv73045312,"3 km SSE of Pāhala, Hawaii",0.68,1.04999995,19,hv
2022-06-16T01:16:58.630Z,36.0876667,-117.6835,-0.46,1.17,ml,ci,ci37423324,"24km ENE of Coso Junction, CA",0.22,0.138,6,ci
2022-06-16T01:13:00.059Z,60.0764,-140.2445,0,2,ml,ak,ak0227o7f6dx,"65 km NNW of Yakutat, Alaska",,,,ak
2022-06-16T01:05:55.250Z,39.3548333,-123.2721667,5.74,1.54,md,nc,nc73745966,"9km SE of Willits, CA",0.23,0.181,16,nc
2022-06-16T01:02:30.543Z,38.1885,-117.7628,10.3,1.4,ml,nn,nn00840984,"37 km SE of Mina, Nevada",,1.44,6,nn
2022-06-16T00:58:35.840Z,17.98016667,-66.98316667,7.01,1.84,md,pr,pr71354323,"6 km E of La Parguera, Puerto Rico",1.56,0.135444501,3,pr
2022-06-16T00:58:06.273Z,61.0057,-146.9351,22,1.3,ml,ak,ak0227o73ehf,"20 km NW of Tatitlek, Alaska",,,,ak
2022-06-16T00:50:05.980Z,17.95883333,-66.87916667,17.57,2.09,md,pr,pr71354318,"2 km SSE of Maria Antonia, Puerto Rico",0.93,0.076397342,3,pr
2022-06-16T00:48:13.390Z,-24.8886,-13.4356,10,4.9,mb,us,us7000hhpa,southern Mid-Atlantic Ridge,14.7,0.096,34,us
2022-06-16T00:46:12.680Z,18.10733333,-66.82916667,7.99,1.68,md,pr,pr71354313,"8 km NNE of Yauco, Puerto Rico",0.68,0.081259802,4,pr
2022-06-16T00:43:41.070Z,18.00016667,-66.86816667,17.39,1.61,md,pr,pr71354308,"1 km SSE of Palomas, Puerto Rico",3.58,0.120003913,3,pr
2022-06-16T00:40:47.792Z,26.6111,54.3497,10,4.6,mb,us,us7000hhp7,"33 km E of Kīsh, Iran",7.9,0.058,89,us
2022-06-16T00:38:13.860Z,17.97483333,-66.87533333,16.94,1.95,md,pr,pr71354303,"1 km ESE of Maria Antonia, Puerto Rico",2.23,0.06474586,4,pr
2022-06-16T00:35:04.080Z,58.63516667,-153.9856667,29.27,1.22,ml,av,av91600291,"89 km NW of Aleneva, Alaska",2.41,0.211825701,10,av
2022-06-16T00:34:37.590Z,37.4013333,-118.565,6.73,1.14,md,nc,nc73745956,"3km ESE of Round Valley, CA",0.49,0.138,13,nc
2022-06-16T00:24:54.420Z,34.1525,-117.4328333,4.78,1.49,ml,ci,ci40040943,"6km NNE of Fontana, CA",0.16,0.15,19,ci
2022-06-16T00:23:03.549Z,26.5907,54.2689,10,4.3,mb,us,us7000hhp4,"25 km E of Kīsh, Iran",9.1,0.087,37,us
2022-06-16T00:22:23.679Z,60.5122,-151.9419,78.3,1.3,ml,ak,ak0227o6vq1r,"36 km WSW of Salamatof, Alaska",,,,ak
2022-06-16T00:13:30.940Z,17.9605,-66.8795,17.31,1.86,md,pr,pr71354298,"2 km SSE of Maria Antonia, Puerto Rico",0.42,0.174272299,6,pr
2022-06-16T00:05:29.923Z,61.4912,-146.4419,19.4,2.1,ml,ak,ak0227o6s3cw,"40 km N of Valdez, Alaska",,,,ak
2022-06-15T23:52:07.457Z,26.6556,54.2638,10,4.1,mb,us,us7000hhnx,"26 km ENE of Kīsh, Iran",8.1,0.144,13,us
2022-06-15T23:47:17.504Z,63.1396,-150.5745,100,1.4,ml,ak,ak0227mx6ow6,"72 km N of Petersville, Alaska",,,,ak
2022-06-15T23:32:22.708Z,61.7145,-149.4568,36.4,1.4,ml,ak,ak0227mx3hjy,"9 km N of Tanaina, Alaska",,,,ak
2022-06-15T23:23:32.580Z,36.7193336,-121.3239975,1.73,1.89,md,nc,nc73745906,"8km S of Tres Pinos, CA",2.63,0.05,3,nc
2022-06-15T23:14:52.670Z,17.96816667,-66.87066667,16.26,2.14,md,pr,pr71354288,"2 km ESE of Maria Antonia, Puerto Rico",0.39,0.069531171,5,pr
2022-06-15T23:14:42.030Z,36.03933333,-97.901,5.54,1.42,ml,ok,ok2022lrga,"6 km N of Dover, Oklahoma",,0.22,4,ok
2022-06-15T23:11:16.674Z,59.7992,-151.9158,56.7,1.3,ml,ak,ak0227mwyulg,"5 km WNW of Anchor Point, Alaska",,,,ak
2022-06-15T23:09:13.390Z,37.5265007,-121.8961639,5.83,2.05,md,nc,nc73745891,"8km ESE of Fremont, CA",0.24,0.13,22,nc
2022-06-15T22:38:19.469Z,62.2244,-151.9152,98.4,1.5,ml,ak,ak0227mwjbzu,"37 km NW of Skwentna, Alaska",,,,ak
2022-06-15T22:31:27.160Z,19.49433333,-155.6588333,-1.6,2.32,ml,hv,hv73045102,"Island of Hawaii, Hawaii",0.22,0.16478989,15,hv
2022-06-15T22:23:44.855Z,23.8505,143.2625,10,5,mb,us,us7000hhng,"Volcano Islands, Japan region",10.6,0.044,162,us
2022-06-15T22:17:29.586Z,-22.8803,-179.0682,531.95,4.5,mb,us,us7000hhn7,south of the Fiji Islands,12.1,0.14,15,us
2022-06-15T21:54:33.450Z,18.6046,-65.0581,31,3.53,md,pr,pr2022166001,"32 km NNW of Charlotte Amalie, U.S. Virgin Islands",0.95,0.05,12,pr
2022-06-15T21:54:07.580Z,37.6581667,-119.398,7.97,1.61,md,nc,nc73745881,"18km ESE of Yosemite Valley, CA",0.94,0.218,16,nc
2022-06-15T21:51:52.139Z,64.2522,-150.1715,0.1,1.6,ml,ak,ak0227mw0r7x,"47 km W of Clear, Alaska, Alaska",,,,ak
2022-06-15T21:45:20.610Z,33.0613333,-115.0075,-0.2,1.5,ml,ci,ci40040887,"44km NE of Holtville, CA",0.53,0.012,4,ci
2022-06-15T21:21:08.480Z,37.6495,-118.8976667,-2.33,1.91,md,nc,nc73745846,"7km E of Mammoth Lakes, CA",0.24,0.24,7,nc
2022-06-15T21:14:05.200Z,19.47466667,-155.4456667,6.98,2.26,ml,hv,hv73045022,"22 km W of Volcano, Hawaii",0.3,0.182829449,17,hv
2022-06-15T21:12:03.770Z,38.3578333,-121.0495,9.68,2.19,md,nc,nc73745836,"10km ENE of Clay, CA",1.15,0.288,23,nc
2022-06-15T21:08:53.189Z,35.10933333,-95.5405,6.97,1.48,ml,ok,ok2022lrbw,"11 km E of Crowder, Oklahoma",,0.15,3,ok
2022-06-15T21:02:37.830Z,36.0915,-117.6938333,0.41,2.16,ml,ci,ci40040863,"23km ENE of Coso Junction, CA",0.11,0.133,16,ci
2022-06-15T20:53:59.880Z,17.98983333,-66.96966667,8.4,1.85,md,pr,pr71354293,"5 km W of Fuig, Puerto Rico",0.4,0.040914611,5,pr
2022-06-15T20:50:11.470Z,33.4666667,-116.4458333,7.54,1.52,ml,ci,ci40040847,"23km ESE of Anza, CA",0.13,0.215,26,ci
2022-06-15T20:50:10.290Z,40.2925,-124.5325,19.24,2.07,md,nc,nc73745816,"21km W of Petrolia, CA",0.65,0.375,19,nc
2022-06-15T20:47:23.264Z,62.3433,-149.1395,0,2.2,ml,ak,ak0227mveeik,"42 km ENE of Susitna North, Alaska",,,,ak
2022-06-15T20:06:17.870Z,38.8223343,-122.8036652,2.54,0.96,md,nc,nc73745791,"6km NW of The Geysers, CA",0.2,0.18,5,nc
2022-06-15T20:03:33.219Z,36.2405,-95.817,0,1.34,ml,ok,ok2022lqzs,"4 km SE of Owasso, Oklahoma",,0.25,16,ok
2022-06-15T19:52:06.085Z,57.1009,-155.3403,0,1.8,ml,ak,ak0227muu068,"73 km WNW of Akhiok, Alaska",,,,ak
2022-06-15T19:44:24.020Z,35.906,-117.736,8.02,1.15,ml,ci,ci40040791,"16km ESE of Little Lake, CA",0.14,0.201,5,ci
2022-06-15T19:36:54.350Z,19.16066667,-155.493,35.96,3.28,ml,hv,hv73044897,"4 km SSW of Pāhala, Hawaii",0.42,0.155002949,30,hv
2022-06-15T19:24:49.540Z,33.8445,-117.4873333,2.26,1.27,ml,ci,ci40040783,"5km SE of Home Gardens, CA",0.19,0.153,20,ci
2022-06-15T19:20:59.610Z,35.0528333,-118.3485,-1.01,1.09,ml,ci,ci40040775,"13km SE of Tehachapi, CA",0.29,0.098,7,ci
2022-06-15T19:09:26.085Z,61.5056,-149.96,47,1.2,ml,ak,ak0227muktxc,"1 km S of Big Lake, Alaska",,,,ak
